🇨🇳 央视,#genre#
江苏卫视,http://www.ye28.eu.org:7777/udp/239.77.1.40:5146
江苏卫视,http://xxy.x3322.net:4022/rtp/239.77.0.48:5146
江苏卫视,http://xxy.x3322.net:4022/rtp/239.77.0.90:5146
江苏卫视,http://xxy.x3322.net:4022/rtp/239.77.1.18:5146
江苏卫视,http://xxy.x3322.net:4022/rtp/239.77.1.40:5146
江西卫视,http://www.ye28.eu.org:7777/udp/239.77.0.149:5146
江西卫视,http://www.ye28.eu.org:7777/udp/239.77.0.54:5146
江西卫视,http://www.ye28.eu.org:7777/udp/239.77.1.219:5146
江西卫视,http://www.ye28.eu.org:7777/udp/239.77.1.73:5146
江西卫视,http://xxy.x3322.net:4022/rtp/239.77.0.149:5146
江西卫视,http://xxy.x3322.net:4022/rtp/239.77.0.54:5146
江西卫视,http://xxy.x3322.net:4022/rtp/239.77.1.219:5146
江西卫视,http://xxy.x3322.net:4022/rtp/239.77.1.73:5146
河北卫视,http://www.ye28.eu.org:7777/udp/239.77.0.148:5146
河北卫视,http://www.ye28.eu.org:7777/udp/239.77.0.64:5146
河北卫视,http://www.ye28.eu.org:7777/udp/239.77.1.214:5146
河北卫视,http://www.ye28.eu.org:7777/udp/239.77.1.60:5146
河北卫视,http://xxy.x3322.net:4022/rtp/239.77.0.148:5146
河北卫视,http://xxy.x3322.net:4022/rtp/239.77.0.64:5146
河南卫视,http://www.ye28.eu.org:7777/udp/239.77.0.17:5146
河南卫视,http://www.ye28.eu.org:7777/udp/239.77.0.61:5146
河南卫视,http://www.ye28.eu.org:7777/udp/239.77.1.229:5146
河南卫视,http://www.ye28.eu.org:7777/udp/239.77.1.58:5146
河南卫视,http://xxy.x3322.net:4022/rtp/239.77.0.61:5146
河南卫视,http://xxy.x3322.net:4022/rtp/239.77.1.58:5146
浙江卫视,http://www.ye28.eu.org:7777/udp/239.77.0.125:5146
浙江卫视,http://www.ye28.eu.org:7777/udp/239.77.0.47:5146
浙江卫视,http://www.ye28.eu.org:7777/udp/239.77.0.89:5146
浙江卫视,http://www.ye28.eu.org:7777/udp/239.77.1.150:5146
浙江卫视,http://www.ye28.eu.org:7777/udp/239.77.1.32:5146
浙江卫视,http://www.ye28.eu.org:7777/udp/239.77.1.33:5146
浙江卫视,http://xxy.x3322.net:4022/rtp/239.77.1.32:5146
浙江卫视,http://xxy.x3322.net:4022/rtp/239.77.1.33:5146
海南卫视,http://www.ye28.eu.org:7777/udp/239.253.43.101:5146
海南卫视,http://www.ye28.eu.org:7777/udp/239.253.43.35:5146
海南卫视,http://www.ye28.eu.org:7777/udp/239.77.0.72:5146
海南卫视,http://www.ye28.eu.org:7777/udp/239.77.1.51:5146
海南卫视,http://xxy.x3322.net:4022/rtp/239.253.43.101:5146
海南卫视,http://xxy.x3322.net:4022/rtp/239.253.43.35:5146
海南卫视,http://xxy.x3322.net:4022/rtp/239.77.0.72:5146
海南卫视,http://xxy.x3322.net:4022/rtp/239.77.1.51:5146
深圳卫视,http://www.ye28.eu.org:7777/udp/239.77.0.130:5146
深圳卫视,http://www.ye28.eu.org:7777/udp/239.77.0.55:5146
深圳卫视,http://www.ye28.eu.org:7777/udp/239.77.0.92:5146
深圳卫视,http://www.ye28.eu.org:7777/udp/239.77.1.148:5146
深圳卫视,http://www.ye28.eu.org:7777/udp/239.77.1.21:5146
深圳卫视,http://www.ye28.eu.org:7777/udp/239.77.1.3:5146
深圳卫视,http://xxy.x3322.net:4022/rtp/239.77.0.130:5146
深圳卫视,http://xxy.x3322.net:4022/rtp/239.77.0.55:5146
深圳卫视,http://xxy.x3322.net:4022/rtp/239.77.0.92:5146
深圳卫视,http://xxy.x3322.net:4022/rtp/239.77.1.148:5146
